DISCA,Discovery Inc. Class A,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",3/1/2010,3/13/2017,,,
DISCK,Discovery Inc. Class C,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",8/7/2014,12/3/2012,,,
DISH,Dish Network,reports,Consumer Discretionary,Cable & Satellite,"Meridian, Colorado",3/13/2017,12/19/2011,,,
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,9/1/2017,,,
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,10/31/1985,,,
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",3/2/2017,1/13/1978,1983,,
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,1/13/1978,,,
DWDP,DowDuPont,reports,Materials,Diversified Chemicals,"Midland, Michigan",3/2/2017,7/26/2017,2017,,
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",3/2/2017,6/30/1976,1995,,
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,4/4/2017,,,
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,3/31/2004,,,
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,1/1/1994,,,
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",3/31/2004,9/24/1998,,,
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,1/13/1978,,,
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/2/2017,1/31/1989,1911,,
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",3/2/2017,4/3/2000,1995,,
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,4/1/2011,,,
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",3/2/2017,7/22/2002,1886,,
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,3/31/1965,,,
EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,"Redwood City, California",7/22/2002,8/14/2013,,,
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,12/2/2016,1890,,
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",3/2/2017,11/2/2000,1913,,
EVHC,Envision Healthcare,reports,Health Care,Health Care Services,"Nashville, Tennessee",12/2/2016,12/19/2008,,,
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,6/19/1997,,,
EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",12/19/2008,3/20/2015,,,
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,12/3/2001,,,0
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,4/2/2014,,,
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,1/5/2006,,,
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",4/2/2014,6/5/2018,,,
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",1/5/2006,,,,
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,6/19/2017,1909,,
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",3/2/2017,,1966,,
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,10/2/2007,,,
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,"Chicago, Illinois",3/2/2017,10/10/2007,2000,,
EXPE,Expedia Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/2007,9/25/2003,,,
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,1/19/2016,,,
ESRX,Express Scripts,reports,Health Care,Health Care Distributors,"Cool Valley, Missouri",9/25/2003,,,,
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,12/20/2010,,,
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",3/2/2017,12/23/2013,1999,,
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,9/15/2009,1996,,
FB,"Facebook, Inc.",reports,Information Technology,Internet Software & Services,"Menlo Park, California",12/23/2013,2/1/2016,,,
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",9/15/2009,12/31/1980,,,
